0
1
22
162
# Vertex weights
0 23
1 92
2 30
3 26
4 20
5 86
6 73
7 55
8 83
9 39
10 91
11 97
12 88
13 95
14 7
15 99
16 26
17 3
18 52
19 87
20 57
21 78
# Edges
0 1
0 2
0 3
0 4
0 6
0 7
0 10
0 11
0 13
0 14
0 15
0 17
0 19
0 20
0 21
1 2
1 3
1 4
1 5
1 6
1 7
1 8
1 9
1 11
1 12
1 13
1 14
1 16
1 17
1 18
1 19
1 20
2 4
2 6
2 7
2 11
2 12
2 13
2 14
2 15
2 16
2 17
2 18
2 19
2 20
2 21
3 4
3 7
3 8
3 9
3 10
3 11
3 12
3 13
3 14
3 15
3 16
3 17
3 18
3 19
3 20
3 21
4 5
4 6
4 9
4 10
4 11
4 12
4 13
4 15
4 18
4 20
4 21
5 7
5 8
5 9
5 10
5 11
5 12
5 13
5 14
5 15
5 17
5 18
5 19
5 21
6 7
6 8
6 10
6 11
6 13
6 14
6 15
6 16
6 21
7 8
7 10
7 11
7 13
7 15
7 17
7 19
7 20
7 21
8 9
8 10
8 11
8 13
8 14
8 17
8 19
9 10
9 11
9 13
9 14
9 15
9 16
9 18
9 19
9 21
10 11
10 13
10 16
10 17
10 21
11 14
11 15
11 16
11 18
11 20
12 13
12 14
12 15
12 16
12 19
12 21
13 14
13 15
13 17
13 19
13 21
14 15
14 16
14 17
14 18
14 19
14 21
15 17
15 18
15 19
15 20
16 18
16 19
16 20
16 21
17 19
17 20
18 19
18 20
18 21
19 20
20 21
