0
1
21
104
# Vertex weights
0 9
1 67
2 60
3 95
4 88
5 31
6 62
7 99
8 31
9 4
10 41
11 20
12 83
13 77
14 4
15 85
16 100
17 98
18 71
19 59
20 53
# Edges
0 1
0 2
0 5
0 7
0 8
0 11
0 13
0 15
0 16
0 20
1 3
1 10
1 11
1 15
1 16
1 17
1 19
2 3
2 4
2 5
2 6
2 8
2 11
2 13
2 14
2 16
3 4
3 7
3 8
3 11
3 14
3 18
4 5
4 8
4 9
4 14
4 15
4 16
4 17
4 18
4 19
5 6
5 7
5 8
5 11
5 12
5 13
5 14
5 19
6 9
6 10
6 11
6 12
6 13
6 15
6 16
6 17
7 8
7 10
7 11
7 14
7 16
7 18
8 10
8 12
8 13
8 16
8 17
8 18
8 20
9 10
9 11
9 12
9 13
9 14
9 15
9 17
9 20
10 12
10 13
10 14
10 16
10 17
10 18
11 12
11 13
11 15
11 16
11 20
12 14
12 16
12 19
12 20
13 14
13 18
14 17
14 18
14 20
15 18
15 20
16 19
17 18
17 19
19 20
