0
1
23
125
# Vertex weights
0 99
1 56
2 70
3 19
4 48
5 54
6 68
7 30
8 71
9 27
10 4
11 65
12 54
13 85
14 26
15 49
16 78
17 93
18 13
19 30
20 76
21 35
22 68
# Edges
0 8
0 9
0 10
0 12
0 15
0 16
0 17
0 19
0 20
0 22
1 2
1 3
1 4
1 5
1 7
1 11
1 13
1 14
1 15
1 17
2 3
2 6
2 7
2 8
2 9
2 10
2 13
2 14
2 17
2 19
2 21
3 5
3 9
3 10
3 13
3 14
3 15
3 21
3 22
4 5
4 7
4 10
4 11
4 12
4 13
4 15
4 16
4 20
4 21
4 22
5 7
5 9
5 12
5 14
5 15
5 17
5 18
5 20
5 21
6 12
6 13
6 14
6 20
6 22
7 8
7 11
7 12
7 17
7 18
7 19
7 21
7 22
8 11
8 16
8 18
8 21
9 10
9 11
9 12
9 13
9 14
9 15
9 17
9 18
9 19
9 21
10 13
10 17
10 18
10 22
11 13
11 14
11 16
11 20
11 22
12 13
12 14
12 15
12 18
12 19
12 20
12 22
13 14
13 18
13 22
14 15
14 17
14 20
14 21
14 22
15 17
15 18
15 19
16 18
16 20
16 22
17 22
18 19
18 20
18 21
19 20
19 21
19 22
20 22
21 22
