0
1
24
138
# Vertex weights
0 47
1 6
2 31
3 5
4 14
5 36
6 63
7 32
8 27
9 81
10 86
11 32
12 37
13 68
14 4
15 61
16 38
17 48
18 49
19 24
20 67
21 17
22 63
23 86
# Edges
0 1
0 2
0 3
0 4
0 5
0 7
0 8
0 10
0 11
0 12
0 14
0 17
0 18
0 19
0 20
0 21
1 2
1 3
1 4
1 5
1 6
1 8
1 18
1 19
1 20
1 21
2 5
2 8
2 10
2 12
2 14
2 15
2 16
2 18
2 20
2 23
3 4
3 5
3 8
3 9
3 13
3 14
3 15
3 17
4 5
4 6
4 7
4 10
4 13
4 16
4 17
5 6
5 11
5 13
5 17
5 18
5 19
5 20
5 21
5 22
5 23
6 7
6 8
6 11
6 12
6 13
6 14
6 16
6 17
6 18
6 19
6 20
6 21
7 8
7 9
7 12
7 13
7 15
7 16
7 20
7 23
8 16
8 17
8 18
8 20
8 21
8 23
9 13
9 14
9 15
9 16
9 17
9 18
9 21
9 22
9 23
10 12
10 14
10 19
10 20
10 21
11 12
11 15
11 16
11 17
11 19
11 21
11 23
12 14
12 15
12 16
12 17
13 14
13 15
13 16
13 17
13 18
13 19
13 21
13 23
14 15
14 17
14 19
14 21
15 17
16 17
16 18
17 20
17 21
17 22
18 19
18 21
18 22
18 23
19 21
19 22
20 21
20 23
