0
1
18
123
# Vertex weights
0 39
1 97
2 54
3 76
4 35
5 90
6 17
7 60
8 50
9 8
10 90
11 71
12 69
13 69
14 12
15 44
16 78
17 74
# Edges
0 1
0 2
0 3
0 6
0 8
0 9
0 10
0 11
0 12
0 13
0 14
0 15
0 16
0 17
1 2
1 3
1 5
1 6
1 7
1 8
1 9
1 12
1 13
1 14
1 15
1 16
1 17
2 3
2 4
2 5
2 6
2 7
2 9
2 10
2 14
2 15
2 16
2 17
3 4
3 5
3 8
3 9
3 10
3 11
3 12
3 13
3 14
3 15
3 16
3 17
4 5
4 6
4 7
4 8
4 9
4 10
4 11
4 12
4 13
4 14
4 15
4 16
5 6
5 8
5 9
5 10
5 12
5 13
5 14
5 15
5 16
5 17
6 7
6 8
6 9
6 11
6 12
6 14
6 15
6 17
7 8
7 11
7 12
7 13
7 14
7 15
7 17
8 9
8 10
8 12
8 13
8 15
8 16
8 17
9 10
9 11
9 12
9 13
9 14
9 15
9 16
9 17
10 11
10 12
10 13
10 14
10 15
10 16
10 17
11 12
11 13
11 14
12 13
12 14
12 15
12 16
12 17
13 14
13 17
14 16
14 17
15 16
16 17
