0
1
25
64
# Vertex weights
0 67
1 35
2 16
3 51
4 49
5 31
6 40
7 6
8 62
9 21
10 9
11 70
12 10
13 68
14 80
15 23
16 91
17 75
18 18
19 11
20 46
21 78
22 33
23 26
24 87
# Edges
0 6
0 13
0 15
0 16
0 17
0 18
0 19
0 21
0 22
1 5
1 6
1 9
1 15
1 16
1 21
1 23
2 9
2 13
3 4
3 5
3 11
3 14
3 20
4 5
4 10
4 11
4 18
4 20
4 21
4 23
5 14
5 17
6 11
6 15
6 18
6 19
6 24
7 16
7 22
8 10
8 14
8 18
8 22
9 10
9 13
10 13
10 21
10 24
11 15
12 14
12 15
12 20
13 18
13 19
13 20
15 16
15 23
17 21
18 19
18 23
19 20
20 23
20 24
22 23
