0
1
23
66
# Vertex weights
0 24
1 86
2 96
3 12
4 66
5 93
6 46
7 19
8 71
9 95
10 63
11 11
12 20
13 95
14 20
15 76
16 10
17 4
18 95
19 40
20 84
21 6
22 100
# Edges
0 1
0 5
0 6
0 9
0 10
0 12
0 15
0 19
1 8
1 9
1 11
1 12
1 14
1 18
2 8
2 11
3 7
3 12
3 20
4 11
4 12
4 20
5 8
5 11
5 14
5 21
6 13
6 14
6 15
6 16
6 17
7 12
7 15
7 20
8 9
8 12
8 19
8 22
9 12
9 13
9 20
9 21
10 14
10 19
10 21
11 12
11 14
11 19
12 13
12 17
12 19
13 16
13 17
13 19
14 15
14 17
14 18
14 21
14 22
15 18
16 22
17 18
17 21
17 22
19 22
20 22
