0
1
24
66
# Vertex weights
0 24
1 70
2 95
3 59
4 31
5 15
6 55
7 19
8 91
9 64
10 91
11 90
12 35
13 28
14 34
15 91
16 36
17 84
18 24
19 35
20 14
21 22
22 3
23 39
# Edges
0 1
0 16
0 23
1 12
1 15
1 22
2 3
2 10
2 11
2 21
2 22
3 11
3 15
3 17
3 18
3 21
3 23
4 6
4 9
4 19
4 20
5 11
5 12
5 16
5 17
5 23
6 7
6 9
6 19
6 21
6 23
7 10
7 12
7 17
7 19
8 12
8 17
8 18
8 19
9 12
9 14
9 16
9 17
10 14
10 17
10 19
10 22
10 23
11 12
11 14
11 15
12 13
12 16
13 16
13 18
13 23
14 17
14 19
15 18
15 22
16 17
16 20
17 22
18 19
19 22
20 21
