0
1
20
99
# Vertex weights
0 63
1 2
2 48
3 97
4 71
5 67
6 19
7 26
8 1
9 43
10 25
11 2
12 49
13 36
14 69
15 60
16 79
17 47
18 43
19 56
# Edges
0 1
0 2
0 3
0 4
0 6
0 8
0 12
0 13
0 14
0 15
0 16
0 17
0 18
0 19
1 4
1 5
1 6
1 17
1 19
2 5
2 6
2 7
2 10
2 13
2 14
2 15
2 17
2 18
3 5
3 6
3 7
3 10
3 13
3 15
3 16
3 18
3 19
4 5
4 6
4 11
4 12
4 13
4 14
4 17
5 9
5 11
5 12
5 13
5 14
5 18
6 7
6 10
6 12
6 13
6 16
6 19
7 10
7 11
7 12
7 14
7 15
7 18
8 9
8 10
8 12
8 13
8 16
8 17
8 18
9 10
9 13
9 16
9 17
9 18
9 19
10 12
10 14
10 15
10 17
10 19
11 12
11 14
11 16
11 18
12 15
12 18
13 15
13 17
13 19
14 15
14 16
14 17
14 19
15 16
15 19
16 17
16 18
17 19
18 19
