0
1
22
112
# Vertex weights
0 41
1 11
2 39
3 24
4 19
5 48
6 38
7 93
8 30
9 63
10 1
11 17
12 13
13 9
14 64
15 98
16 81
17 67
18 88
19 52
20 77
21 93
# Edges
0 1
0 2
0 3
0 4
0 9
0 13
0 20
1 2
1 3
1 4
1 5
1 9
1 10
1 11
1 12
1 13
1 16
1 20
2 3
2 4
2 7
2 8
2 9
2 10
2 11
2 14
2 17
2 19
2 20
3 5
3 7
3 9
3 10
3 12
3 13
3 15
3 16
3 19
4 5
4 8
4 10
4 12
4 14
4 15
4 17
4 18
4 20
4 21
5 6
5 7
5 9
5 10
5 11
5 19
5 21
6 7
6 8
6 10
6 12
6 14
6 15
6 17
6 19
6 20
6 21
7 8
7 10
7 11
7 13
7 16
7 21
8 13
8 16
8 20
8 21
9 13
9 15
9 17
9 19
10 13
10 14
10 15
10 16
10 17
10 21
11 12
11 17
11 18
11 19
12 13
12 15
12 16
12 19
12 20
12 21
13 14
13 16
13 17
13 18
13 21
14 16
15 16
15 18
15 20
15 21
16 17
16 21
17 18
17 20
17 21
18 19
19 20
