0
1
19
83
# Vertex weights
0 85
1 66
2 53
3 10
4 68
5 26
6 78
7 99
8 88
9 48
10 5
11 65
12 15
13 43
14 44
15 33
16 23
17 78
18 38
# Edges
0 2
0 6
0 8
0 9
0 11
0 13
0 15
0 17
0 18
1 3
1 4
1 7
1 10
1 14
2 3
2 7
2 8
2 10
2 13
2 15
2 16
2 17
2 18
3 4
3 8
3 9
3 10
3 11
3 12
3 14
3 17
4 7
4 8
4 11
4 13
4 15
4 17
5 7
5 8
5 9
5 11
5 12
5 13
5 15
5 18
6 7
6 11
6 14
6 15
6 16
7 9
7 12
7 13
7 14
7 15
7 18
8 10
8 12
8 16
8 17
9 10
9 12
9 14
9 16
10 11
10 17
10 18
11 14
11 15
11 17
12 16
12 18
13 15
13 16
13 17
13 18
14 15
14 17
15 17
15 18
16 17
16 18
17 18
