0
1
25
145
# Vertex weights
0 3
1 10
2 13
3 83
4 39
5 92
6 85
7 41
8 57
9 39
10 99
11 96
12 96
13 74
14 40
15 88
16 71
17 33
18 82
19 71
20 69
21 13
22 21
23 44
24 28
# Edges
0 1
0 2
0 3
0 4
0 6
0 7
0 9
0 10
0 11
0 13
0 14
0 15
0 16
0 17
0 18
0 19
0 20
0 21
0 22
0 24
1 3
1 4
1 5
1 10
1 12
1 16
1 18
1 20
1 22
1 24
2 4
2 6
2 7
2 9
2 13
2 19
2 20
2 22
2 24
3 5
3 7
3 10
3 13
3 16
3 17
3 18
3 19
3 20
3 21
3 22
3 23
4 6
4 7
4 8
4 9
4 12
4 13
4 16
4 17
4 18
4 20
4 21
4 22
5 7
5 10
5 12
5 16
5 18
6 7
6 8
6 14
6 17
6 18
6 22
6 24
7 8
7 9
7 10
7 11
7 14
7 16
7 17
7 22
8 10
8 11
8 15
8 16
8 17
8 19
8 22
8 23
8 24
9 14
9 16
9 18
9 20
9 21
10 13
10 14
10 15
10 16
10 17
10 18
10 20
10 21
10 22
11 16
11 18
11 22
11 24
12 13
12 15
12 18
12 20
12 21
12 22
13 16
13 21
13 22
14 16
14 18
14 24
15 18
15 24
16 17
16 19
16 21
16 22
16 24
17 19
17 22
18 20
18 21
18 22
18 23
18 24
19 21
19 22
19 24
20 22
20 24
21 22
21 23
21 24
22 24
